Date,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2024,36041,"Hamilton County, NY",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,.
2024,36045,"Jefferson County, NY",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,36055,"Monroe County, NY",1,0.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,36061,"New York County, NY",1.7,0.9,.,.,0.1,0.07,.,.,.,.,.,.,.,.
2024,36063,"Niagara County, NY",.,.,.,.,.,0.063,.,.,.,.,.,.,.,.
2024,36067,"Onondaga County, NY",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,36075,"Oswego County, NY",.,.,.,.,0.06,0.055,.,.,.,.,.,.,.,.
2024,36079,"Putnam County, NY",.,.,.,.,0.1,0.075,.,.,.,.,.,.,.,.
2024,36081,"Queens County, NY",1.4,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,36085,"Richmond County, NY",.,.,.,.,0.09,0.065,.,.,.,.,.,.,.,.
2024,36087,"Rockland County, NY",.,.,.,.,0.1,0.072,.,.,.,.,.,.,.,.
2024,36091,"Saratoga County, NY",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,36101,"Steuben County, NY",0.4,0.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,36103,"Suffolk County, NY",0.6,0.4,.,.,0.1,0.07,.,.,.,.,.,.,.,.
2024,36117,"Wayne County, NY",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,36119,"Westchester County, NY",.,.,.,.,0.1,0.075,.,.,.,.,.,.,.,.
2024,37003,"Alexander County, NC",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,37021,"Buncombe County, NC",.,.,.,.,.,0.058,.,.,.,.,.,.,.,.
2024,37027,"Caldwell County, NC",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,37033,"Caswell County, NC",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,37063,"Durham County, NC",.,.,.,.,0.07,.,.,.,.,.,.,.,.,.
2024,37067,"Forsyth County, NC",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,37077,"Granville County, NC",.,.,.,.,0.08,0.064,.,.,.,.,.,.,.,.
2024,37081,"Guilford County, NC",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,37087,"Haywood County, NC",.,.,.,.,0.06,.,.,.,.,.,.,.,.,.
2024,37101,"Johnston County, NC",.,.,.,.,.,.,.,.,.,.,.,.,.,.
2024,37107,"Lenoir County, NC",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,37117,"Martin County, NC",.,.,.,.,0.06,0.051,.,.,.,.,.,.,.,.
2024,37119,"Mecklenburg County, NC",1.6,1.2,.,.,0.09,0.071,.,.,.,.,.,.,.,.
2024,37129,"New Hanover County, NC",.,.,.,.,.,0.06,.,.,.,.,.,.,.,.
2024,37145,"Person County, NC",.,.,.,.,0.07,.,.,.,.,.,.,.,.,.
2024,37147,"Pitt County, NC",.,.,.,.,0.06,0.059,.,.,.,.,.,.,.,.
2024,37157,"Rockingham County, NC",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,37173,"Swain County, NC",.,.,.,.,0.07,0.056,.,.,.,.,.,.,.,.
2024,37179,"Union County, NC",.,.,.,.,0.07,0.064,.,.,.,.,.,.,.,.
2024,37183,"Wake County, NC",1.2,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,38007,"Billings County, ND",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,38013,"Burke County, ND",.,.,.,.,0.06,0.056,.,.,.,.,.,.,.,.
2024,38015,"Burleigh County, ND",0.9,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,38017,"Cass County, ND",.,.,.,.,0.06,0.054,.,.,.,.,.,.,.,.
2024,38025,"Dunn County, ND",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,38053,"McKenzie County, ND",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,38057,"Mercer County, ND",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,38065,"Oliver County, ND",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,38101,"Ward County, ND",.,.,.,.,0.07,0.054,.,.,.,.,.,.,.,.
2024,39003,"Allen County, OH",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,39007,"Ashtabula County, OH",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,39017,"Butler County, OH",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,39023,"Clark County, OH",.,.,.,.,0.09,0.068,.,.,.,.,.,.,.,.
2024,39025,"Clermont County, OH",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,39027,"Clinton County, OH",.,.,.,.,0.08,0.071,.,.,.,.,.,.,.,.
2024,39035,"Cuyahoga County, OH",3,1.5,.,.,0.08,0.072,.,.,.,.,.,.,.,.
2024,39041,"Delaware County, OH",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,39049,"Franklin County, OH",1.8,1.1,.,.,0.08,0.069,.,.,.,.,.,.,.,.
2024,39055,"Geauga County, OH",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,39057,"Greene County, OH",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,39061,"Hamilton County, OH",1.6,1.2,.,.,0.09,0.073,.,.,.,.,.,.,.,.
2024,39081,"Jefferson County, OH",.,.,.,.,0.07,0.066,.,.,.,.,.,.,.,.
2024,39083,"Knox County, OH",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
2024,39085,"Lake County, OH",.,.,.,.,0.09,0.071,.,.,.,.,.,.,.,.
2024,39087,"Lawrence County, OH",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2024,39089,"Licking County, OH",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,39093,"Lorain County, OH",.,.,.,.,0.07,0.061,.,.,.,.,.,.,.,.
2024,39095,"Lucas County, OH",.,.,.,.,0.08,0.071,.,.,.,.,.,.,.,.
2024,39097,"Madison County, OH",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,39099,"Mahoning County, OH",.,.,.,.,0.07,0.067,.,.,.,.,.,.,.,.
2024,39103,"Medina County, OH",.,.,.,.,0.08,0.065,.,.,.,.,.,.,.,.
